seed_record_id,product_id,company,brand,standard_product_name,source_url,indication
REC_0018,prod_44cc33ddc1de,Agnes Medical,Agnes RF,绝缘微针射频,https://lat.agnesmedical.com/product/agnes-s/,Indicated for use in dermatological and general surgical procedures for electrocoagulation and hemostasis.
REC_0119,prod_e56360e81442,Sinclair Pharma,Cocoon Medical,Primelase,https://sinclair.com/brands/energy-devices/primelase-excellence/,"Intended for the medical treatment of pseudofolliculitis and hirsutism; also intended for treatment of vascular lesions, pigmentary lesions, acne vulgaris, and follicular treatments."
REC_0142,prod_f516b06922b2,Body Health,Cryo-Radiofrequency (Refreeze),Cryo-Frequency,https://bodyhealth.com.ar/en/refreeze-en/,"Indicated for generalized adiposity, cellulite, and flaccidity."
REC_0611,prod_b77b658280b7,Prollenium Medical,Revanesse,Revanesse Versa / Lips,https://revanesse.com/ifu,"Approved in the U.S. to correct the appearance of facial wrinkles and creases, including nasolabial folds."
REC_0828,prod_9de0668e45ad,Cynosure,Smartlipo Triplex,Triple-Wavelength Laser Lipolysis,https://www.cynosure.com/product/smartlipo-triplex/,"Intended for surgical incision, excision, vaporization, ablation, and coagulation of soft tissue."
REC_0855,prod_8def999a07ac,Candela,Vbeam Prima,Dual-Wavelength PDL,https://marketing.syneron-candela.com/Vbeam-Prima-Launch-Registration.html,"Indicated for treatment of vascular, pigmented, and certain non-pigmented lesions."
REC_1004,prod_48196660d7e3,Lutronic / Cynosure Lutronic,LaseMD,LaseMD Ultra,https://www.cynosure.com/product/ultra/,"Indicated for dermatological procedures requiring soft-tissue coagulation, treatment of actinic keratosis, and treatment of benign pigmented lesions including lentigos, solar lentigos, and ephelides."
REC_0048,prod_caab8c505c94,Fillmed,Art Filler,Art Filler (Universal/Volume/Lips),https://uk.fillmed.com/art-filler/,"Indicated for soft lip volume, lip contour, and peri-oral wrinkles."
REC_0075,prod_1361974ef901,Body Health,BHS 202 / BHS 156 (HIMFU),HIMFU (Body Contouring),https://bodyhealthgroup.es/en/himfu-en/,Indicated for treatment of localized fat deposits.
REC_0982,prod_6fea695d0ecd,Lumenis,Legend Pro,Legend Pro+,https://lumenis.com/aesthetics/products/legend-pro/,Indications include skin resurfacing and treatment of mild to moderate wrinkles and rhytids.
