seed_record_id,product_id,company,brand,standard_product_name,score,confidence,source_query_type,source_page_url,source_title,indication
REC_0257,prod_3caba46020d5,BTL,Exilis Ultra 360,Skin Tightening,52,official_search_excerpt_spec_candidate,product_ifu_labeling,https://btl.si/uploads/btl/public/_custom/Exilis_Ultra_360_CAT_2.0_EN100.pdf,[PDF] Distinguished by its sheer versatility - BTL,"Intended for obesity treatment by means of controlled reduction of fat cells, induced by radiofrequency field in cooperation with ultrasound."
REC_0257,prod_3caba46020d5,BTL,Exilis Ultra 360,Skin Tightening,52,official_search_excerpt_spec_candidate,product_ifu_labeling,https://btl.si/uploads/btl/public/_custom/Exilis_Ultra_360_CAT_2.0_EN100.pdf,[PDF] Distinguished by its sheer versatility - BTL,"Intended for obesity treatment by means of controlled reduction of fat cells, induced by radiofrequency field in cooperation with ultrasound."
REC_0337,prod_3f953e62b390,K-Surgery / Ksurgery MED,Idea / Opéra,Idea HA Filler,48,official_search_excerpt_spec_candidate,product_official_page,https://k-surgery.co.uk/lines/opera.html,K-Surgery Opera Fillers,Indicated for the treatment of medium deep wrinkles.
REC_0345,prod_f8ba0a3d01c9,Innea Aesthetics,Innea,Innea Aqua,38,official_search_excerpt_spec_candidate,official_product_portfolio,https://innea-aesthetics.com/volume/,INNEA® Prisma Volume | Facial Volume & Deep Wrinkle Filler,"Indicated for treatment of moderate to deep wrinkles, correction of skin folds and restoration of facial volume."
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,48,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/,Thermiva | Non-surgical vaginal rejuvenation,Approved for treatment of vulvovaginal laxity.
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,48,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/,Thermiva | Non-surgical vaginal rejuvenation,Approved for treatment of vulvovaginal laxity.
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,40,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/thermiva,THERMIva™ | Thermiva,FDA cleared for dermatological and general surgical procedures for electrocoagulation and hemostasis.
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,48,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/thermiva,THERMIva™ | Thermiva,Approved for Vulvovaginal Laxity or for treatment of loose tissues of the vulva and vagina.
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,48,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/,Thermiva | Non-surgical vaginal rejuvenation,Approved for treatment of vulvovaginal laxity.
REC_0702,prod_24610647c4c0,Celling Biosciences,Thermiva,Temperature-Controlled Radio Frequency,40,official_search_excerpt_spec_candidate,product_official_page,https://thermiva.org/thermiva,THERMIva™ | Thermiva,FDA cleared for dermatological and general surgical procedures for electrocoagulation and hemostasis.
