seed_record_id,label,action,product_id,source_url
REC_0849,Alma Lasers - Alma Duo,added,prod_551e6ced4520,https://almainc.com/product/alma-duo/
REC_0859,Candela - CO2RE Intima,added,prod_d3e0d17efc06,https://candelamedical.com/press-releases/candela-announces-health-canada-approval-of-two-new-gynecological-indications-for-core-laser-platform/
REC_0336,Halozyme Therapeutics - Hylenex,added,prod_f72d009fdeb1,https://halozyme.com/wp-content/uploads/Hylenex-Final-USPI-Rev07_Nov2024-1.pdf
REC_0818,Solta Medical - VASERlipo,added,prod_e2db6be0cda3,https://pages.solta.com/VaserVideos
REC_0931,Caregen - DR. CYJ Hair Filler,added,prod_64ad26738e7a,https://www.centralefillers.com/products/dr_cyj_hair_filler-1-ml
REC_0201,Caregen - Dr. CYJ Hair Filler,added,prod_2c785d3f4372,https://www.centralefillers.com/products/dr_cyj_hair_filler-1-ml
REC_0561,Cocoon Medical - Primelase HR excellence,added,prod_255de62d6327,https://www.homemedicallaser.com/product/cocoon-primelase-diode-laser-810nm/
REC_0834,Cutera - truSculpt flex+,added,prod_e4cc96849886,https://cutera.com/us-en/products/truflex/
REC_0892,IBSA Derma - Aliaxin EV,added,prod_9e2dd4fc5acd,https://www.fillermarket.com/en/filler/11524-ibsa-aliaxin-ev-essential-volume.html
REC_0890,IBSA Derma - Aliaxin SR,added,prod_f9a3abc82eee,https://www.fillermarket.com/en/filler/11391-ibsa-aliaxin-sr-shape-restore.html
REC_0893,IBSA Derma - Aliaxin SV,added,prod_4d2b80429838,https://www.fillermarket.com/en/filler/11392-ibsa-aliaxin-sv-superior-volume.html
REC_0791,Needle Concept - Mesotherapy Needle,added,prod_8c4214217e4e,https://www.mekonneedle.com/zh/mesotherapy-needle-27g-34g-product/
REC_0316,APS - Hifu Top,added,prod_2fc0e4c36174,https://www.top-aes.com/high-intensity-focused-ultrasound-hifu/ultraskin/
REC_0853,Alma Lasers - Alma PrimeX,added,prod_a09a829cb9a8,https://almalasers.com/product/alma-primex/
REC_0869,BTL - EMFEMME 360,added,prod_154406bbd526,https://www.btlmedical.com.hk/
REC_0833,Cutera - xeo+,added,prod_9fa2d185e598,https://cutera.com/products/xeo/
REC_0191,Dives Med - Dives Filler,added,prod_db8da6ea306d,https://centralfillercanada.ca/product/dives-volume-1x1ml/
